episode_id,timestep,split,node_id,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,mission_priority,in_disruption_zone,node_degree,dist_to_cs,dist_to_uav,can_reach_cs
0,6,train,S6,591.28,695.05,-0.26,0.99,1.02,92.3,3,0,4,602.01,118.17,0
0,6,train,S7,370.09,439.99,-0.39,-1.0,1.07,84.03,2,0,2,363.97,221.99,0
0,6,train,S8,681.16,814.49,-1.44,-1.76,2.27,90.42,1,0,0,737.1,265.79,0
0,6,train,S9,546.38,369.81,0.95,3.6,3.73,85.53,2,1,3,273.77,254.45,0
0,6,train,S10,690.72,171.23,4.3,-1.57,4.57,80.07,2,0,1,203.58,487.61,0
0,6,train,S11,375.43,529.41,-3.02,1.24,3.26,79.6,3,0,2,447.11,154.03,0
0,6,train,S12,365.86,781.89,3.83,1.46,4.1,83.77,2,0,2,694.96,210.25,0
0,6,train,S13,560.18,669.81,-2.44,1.34,2.78,94.02,2,0,3,572.98,78.12,0
0,6,train,S14,679.95,488.97,4.79,-1.31,4.97,84.71,3,0,3,428.58,222.6,0
0,6,train,S15,663.13,325.26,1.12,3.74,3.9,86.07,1,0,2,278.13,336.87,0
0,6,train,S16,464.92,729.15,-1.61,-1.54,2.23,83.13,1,0,6,630.13,114.65,0
0,6,train,S17,565.84,437.03,-0.56,4.63,4.66,70.74,3,0,4,343.4,194.45,0
0,6,train,S18,517.28,613.44,-0.4,-1.01,1.08,89.32,3,1,2,513.73,18.49,0
0,6,train,S19,598.14,188.58,-0.64,-4.13,4.18,86.18,2,0,2,132.21,442.44,0
0,7,train,S0,528.04,195.76,-4.77,0.54,4.8,96.1,2,0,1,99.78,395.24,0
0,7,train,S1,312.56,365.82,1.02,-1.37,1.7,87.16,3,0,1,325.26,292.22,0
0,7,train,S2,596.5,401.63,-0.07,-1.73,1.73,72.02,3,0,5,316.69,211.65,0
0,7,train,S3,326.82,772.73,-1.07,-1.66,1.98,84.23,2,0,1,694.66,251.76,0
0,7,train,S4,452.57,669.1,2.39,0.54,2.45,95.58,1,0,2,571.07,92.23,0
0,7,train,S5,632.47,525.27,3.74,-2.57,4.54,70.24,2,0,4,445.43,147.44,0
0,7,train,S6,591.02,696.03,-0.26,0.99,1.02,92.29,3,0,3,602.94,139.74,0
0,7,train,S7,369.7,438.99,-0.39,-1.0,1.07,84.02,2,0,3,363.17,199.45,0
