episode_id,timestep,split,pos_x,pos_y,vel_x,vel_y,speed,energy_remaining,dist_to_cs,cs_connected,avg_sensor_dist,covered_sensors_count,network_components
6,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,304.44,10,6
6,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,290.09,11,7
6,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,279.41,11,8
6,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,270.62,11,9
6,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,263.22,12,10
6,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,257.51,12,10
6,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,253.66,12,10
6,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,251.43,12,9
6,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,250.4,14,9
6,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,250.49,15,8
6,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,251.77,15,8
6,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,254.37,14,8
6,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,258.53,13,8
6,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,264.73,13,7
6,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,273.45,12,6
6,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,284.85,11,5
6,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,284.85,11,5
6,20,train,500.0,260.0,0.0,0.0,0.0,90.0,160.0,1,284.89,11,5
6,21,train,500.0,260.0,0.0,0.0,0.0,89.5,160.0,1,284.99,11,5
6,22,train,500.0,260.0,0.0,0.0,0.0,89.0,160.0,1,285.14,11,5
6,23,train,500.0,260.0,0.0,0.0,0.0,88.5,160.0,1,285.33,11,5
6,24,train,500.0,260.0,0.0,0.0,0.0,88.0,160.0,1,285.56,11,5
7,0,train,500.0,800.0,0.0,0.0,0.0,100.0,700.0,0,317.37,10,6
7,1,train,500.0,770.0,0.0,-30.0,30.0,99.5,670.0,0,300.64,10,5
7,2,train,500.0,740.0,0.0,-30.0,30.0,99.0,640.0,0,285.64,10,5
7,3,train,500.0,710.0,0.0,-30.0,30.0,98.5,610.0,0,273.49,11,5
7,4,train,500.0,680.0,0.0,-30.0,30.0,98.0,580.0,0,263.35,12,5
7,5,train,500.0,650.0,0.0,-30.0,30.0,97.5,550.0,0,254.65,13,7
7,6,train,500.0,620.0,0.0,-30.0,30.0,97.0,520.0,0,247.38,14,7
7,7,train,500.0,590.0,0.0,-30.0,30.0,96.5,490.0,0,241.82,16,7
7,8,train,500.0,560.0,0.0,-30.0,30.0,96.0,460.0,0,238.46,14,6
7,9,train,500.0,530.0,0.0,-30.0,30.0,95.5,430.0,0,237.38,14,8
7,10,train,500.0,500.0,0.0,-30.0,30.0,95.0,400.0,0,238.3,15,9
7,11,train,500.0,470.0,0.0,-30.0,30.0,94.5,370.0,0,240.85,14,8
7,12,train,500.0,440.0,0.0,-30.0,30.0,94.0,340.0,0,246.2,14,8
7,13,train,500.0,410.0,0.0,-30.0,30.0,93.5,310.0,0,255.31,13,8
7,14,train,500.0,380.0,0.0,-30.0,30.0,93.0,280.0,1,266.43,13,8
7,15,train,500.0,350.0,0.0,-30.0,30.0,92.5,250.0,1,279.81,12,7
7,16,train,500.0,320.0,0.0,-30.0,30.0,92.0,220.0,1,295.8,12,7
7,17,train,500.0,290.0,0.0,-30.0,30.0,91.5,190.0,1,314.18,11,6
7,18,train,500.0,260.0,0.0,-30.0,30.0,91.0,160.0,1,334.33,11,6
7,19,train,500.0,260.0,0.0,0.0,0.0,90.5,160.0,1,334.73,11,6
