episode_id,timestep,split,source_node,target_node,distance_m,link_quality,is_active,crosses_disruption
0,5,train,S2,S17,40.75,0.7962,1,0
0,5,train,S3,S12,33.35,0.8333,1,0
0,5,train,S4,S13,114.83,0.4259,1,0
0,5,train,S4,S16,65.41,0.673,1,0
0,5,train,S4,UAV,55.23,0.8159,1,1
0,5,train,S5,S14,64.25,0.6788,1,0
0,5,train,S5,S17,114.19,0.4291,1,0
0,5,train,S5,S18,136.29,0.3186,1,1
0,5,train,S5,UAV,172.98,0.4234,1,1
0,5,train,S6,S13,38.62,0.8069,1,0
0,5,train,S6,S16,130.27,0.3486,1,0
0,5,train,S6,S18,108.6,0.457,1,1
0,5,train,S6,UAV,101.6,0.6613,1,1
0,5,train,S7,S11,87.54,0.5623,1,0
0,5,train,S9,S15,124.84,0.3758,1,1
0,5,train,S9,S17,69.44,0.6528,1,1
0,5,train,S10,S19,89.87,0.5506,1,0
0,5,train,S11,UAV,172.09,0.4264,1,1
0,5,train,S12,S16,115.73,0.4213,1,0
0,5,train,S12,UAV,189.87,0.3671,1,1
0,5,train,S13,S16,114.48,0.4276,1,0
0,5,train,S13,UAV,65.29,0.7824,1,1
0,5,train,S14,S17,123.2,0.384,1,0
0,5,train,S16,S18,127.01,0.3649,1,1
0,5,train,S16,UAV,87.36,0.7088,1,1
0,6,train,S0,S19,65.67,0.6717,1,0
0,6,train,S1,S7,93.43,0.5329,1,0
0,6,train,S2,S5,128.57,0.3571,1,0
0,6,train,S2,S9,60.36,0.6982,1,1
0,6,train,S2,S14,119.51,0.4025,1,0
0,6,train,S2,S15,102.62,0.4869,1,0
0,6,train,S2,S17,45.59,0.7721,1,0
0,6,train,S3,S12,38.7,0.8065,1,0
0,6,train,S4,S13,110.0,0.45,1,0
0,6,train,S4,S16,62.36,0.6882,1,0
0,6,train,S5,S14,64.3,0.6785,1,0
0,6,train,S5,S17,110.47,0.4477,1,0
0,6,train,S5,UAV,158.31,0.4723,1,1
0,6,train,S6,S13,40.06,0.7997,1,0
0,6,train,S6,S16,130.89,0.3455,1,0
0,6,train,S6,S18,110.16,0.4492,1,1
0,6,train,S6,UAV,118.17,0.6061,1,1
0,6,train,S7,S11,89.57,0.5521,1,0
0,6,train,S9,S15,124.96,0.3752,1,1
0,6,train,S9,S17,69.98,0.6501,1,1
0,6,train,S10,S19,94.19,0.5291,1,0
0,6,train,S11,UAV,154.03,0.4866,1,1
0,6,train,S12,S16,112.22,0.4389,1,0
0,6,train,S13,S16,112.23,0.4388,1,0
0,6,train,S14,S17,125.38,0.3731,1,0
0,6,train,S16,S18,127.02,0.3649,1,1
0,6,train,S16,UAV,114.65,0.6178,1,1
0,7,train,S0,S19,70.37,0.6481,1,0
0,7,train,S1,S7,92.85,0.5358,1,0
0,7,train,S2,S5,128.77,0.3562,1,0
0,7,train,S2,S9,56.68,0.7166,1,1
0,7,train,S2,S14,123.24,0.3838,1,0
0,7,train,S2,S15,99.33,0.5033,1,0
0,7,train,S2,S17,50.76,0.7462,1,0
0,7,train,S3,S12,44.17,0.7792,1,0
0,7,train,S4,S13,105.18,0.4741,1,0
0,7,train,S4,S16,59.49,0.7026,1,0
0,7,train,S5,S14,64.4,0.678,1,0
0,7,train,S5,S17,107.27,0.4637,1,0
0,7,train,S5,UAV,147.44,0.5085,1,1
0,7,train,S6,S13,41.56,0.7922,1,0
0,7,train,S6,S16,131.57,0.3422,1,0
0,7,train,S6,S18,111.74,0.4413,1,1
0,7,train,S7,S11,91.69,0.5415,1,0
0,7,train,S7,UAV,199.45,0.3352,1,1
0,7,train,S9,S15,125.08,0.3746,1,1
0,7,train,S9,S17,70.56,0.6472,1,1
0,7,train,S10,S19,98.63,0.5069,1,0
0,7,train,S11,UAV,140.72,0.5309,1,1
0,7,train,S12,S16,108.95,0.4552,1,0
0,7,train,S13,S16,110.03,0.4499,1,0
0,7,train,S14,S17,128.02,0.3599,1,0
0,7,train,S16,S18,127.04,0.3648,1,1
0,7,train,S16,UAV,142.42,0.5253,1,1
0,8,train,S0,S19,75.3,0.6235,1,0
0,8,train,S1,S7,92.28,0.5386,1,0
0,8,train,S2,S5,129.08,0.3546,1,0
0,8,train,S2,S9,53.3,0.7335,1,1
0,8,train,S2,S14,127.05,0.3647,1,0
0,8,train,S2,S15,96.26,0.5187,1,0
